ts_iso,elapsed_s,raw-air-quality,weather-stream,enriched-readings,pollution-alerts,critical-alerts
2026-05-31T13:19:04+00:00,0,32251,4198,62482,871,203
2026-05-31T13:19:34+00:00,30,32260,4198,62489,874,203
2026-05-31T13:20:04+00:00,60,32398,4298,62842,874,203
2026-05-31T13:20:34+00:00,90,33048,4298,64120,886,203
2026-05-31T13:21:04+00:00,120,33138,4338,64312,886,203
2026-05-31T13:21:34+00:00,150,33325,4398,64564,892,215
2026-05-31T13:22:04+00:00,180,33971,4398,64568,895,219
2026-05-31T13:22:34+00:00,210,34057,4498,66045,908,219
2026-05-31T13:23:04+00:00,240,34235,4498,67348,925,219
2026-05-31T13:23:34+00:00,270,34874,4501,67368,929,219
2026-05-31T13:24:04+00:00,300,34919,4598,67847,929,219
2026-05-31T13:24:34+00:00,330,34974,4598,68046,940,219
2026-05-31T13:25:04+00:00,360,35613,4660,68253,940,219
2026-05-31T13:25:34+00:00,390,35627,4698,69617,953,219
2026-05-31T13:26:04+00:00,420,35660,4698,69627,957,219
2026-05-31T13:26:34+00:00,450,36288,4798,70831,970,232
2026-05-31T13:27:04+00:00,480,36297,4798,71447,977,236
2026-05-31T13:27:34+00:00,510,36330,4822,71565,979,236
2026-05-31T13:28:04+00:00,540,36330,4898,71820,979,236
2026-05-31T13:28:34+00:00,570,36962,4898,73056,994,236
2026-05-31T13:29:04+00:00,600,36973,4981,73413,994,236
2026-05-31T13:29:34+00:00,630,37000,4998,73639,998,236
2026-05-31T13:30:04+00:00,660,37632,4998,73639,998,236
2026-05-31T13:30:34+00:00,690,37643,5023,74822,1009,236
2026-05-31T13:31:04+00:00,720,37726,5098,76301,1026,242
2026-05-31T13:31:34+00:00,750,38372,5098,76314,1030,243
2026-05-31T13:32:04+00:00,780,38411,5177,76648,1030,243
2026-05-31T13:32:34+00:00,810,38455,5198,76861,1034,243
2026-05-31T13:33:04+00:00,840,39073,5198,76861,1034,243
2026-05-31T13:33:34+00:00,870,39114,5298,78420,1049,243
2026-05-31T13:34:04+00:00,900,39156,5298,78428,1049,243
2026-05-31T13:34:34+00:00,930,39761,5346,79268,1060,243
2026-05-31T13:35:04+00:00,960,39799,5398,79518,1064,243
2026-05-31T13:35:34+00:00,990,39831,5398,80156,1068,243
2026-05-31T13:36:04+00:00,1020,40473,5498,81237,1082,247
2026-05-31T13:36:34+00:00,1050,40547,5498,81750,1086,250
2026-05-31T13:37:04+00:00,1080,40556,5503,81798,1086,250
2026-05-31T13:37:34+00:00,1110,40585,5598,82221,1092,250
2026-05-31T13:38:04+00:00,1140,41215,5598,82227,1092,250
2026-05-31T13:38:34+00:00,1170,41244,5660,83545,1107,250
